locId,countryCode,subnational1,subnational2,latitude,longitude,name,lastVisit,speciesCount
L6002133,SG,SG-,,1.4081494,104.0349054,Pulau Tekong (restricted access),2024-12-01 16:00,142
L1055540,SG,SG-,,1.4036084,103.9688244,Pulau Ubin,2025-01-06 08:35,286
L17520110,SG,SG-,,1.4114483,103.9534308,Pulau Ubin--Jln Wat Siam,2025-01-09 13:37,117
L5293892,SG,SG-,,1.4084983,103.9913517,Pulau Ubin: Chek Jawa Wetlands,2025-01-05 15:00,201
L29920417,SG,SG-,,1.3897943,103.9140867,Punggol Field,2024-12-13 10:50,51
L6058902,SG,SG-,,1.3771007,103.8985379,Punggol Park,2025-01-10 07:50,103
L6061649,SG,SG-,,1.4193955,103.9134389,Punggol Promenade Nature Walk,2024-12-23 09:16,101
L29250016,SG,SG-,,1.4140993,103.9036171,Punggol Seventeenth Ave,2024-10-24 17:47,36
L6061678,SG,SG-,,1.4109008,103.9045769,Punggol Waterway Park,2024-12-31 10:00,106
L28512034,SG,SG-,,1.4141174,103.9035877,Punggol Way,2024-12-13 13:00,71
L33724278,SG,SG-,,1.3188683,103.7907351,Queen Astrid Park,2025-01-10 07:29,11
L14356581,SG,SG-,,1.3306004,103.657549,Raffles Country Club,2024-05-29 16:04,8
L37243631,SG,SG-,,1.1599761,103.7408602,Raffles Lighthouse,2024-10-12 14:00,12
L15048163,SG,SG-,,1.4225404,103.7543893,Rail Corridor North (west of Kranji/Woodlands Rd junction),2024-11-24 12:29,67
L29195082,SG,SG-,,1.3391908,103.7804013,Rail corridor (near Garden Vista),2025-01-13 11:17,45
L16514138,SG,SG-,,1.3570396,103.812456,Ranger Station Central Catchment Nature Reserve,2025-01-04 09:02,110
L8468716,SG,SG-,,1.3560635,103.8009231,Rifle Range Link,2025-01-10 09:00,164
L21564141,SG,SG-,,1.343978,103.779663,Rifle Range Nature Park,2025-01-09 12:08,107
L5797018,SG,SG-,,1.3454869,103.77913,Rifle Range Road to Bukit Drive footpath,2024-10-27 17:06,69
L6061685,SG,SG-,,1.4018162,103.7920529,River Safari,2024-12-07 10:30,59
L10155164,SG,SG-,,1.2909674,103.8416088,Robertson Quay,2025-01-13 13:34,39
L9607958,SG,SG-,,1.4280952,103.7841231,Rosewood Drive: open field,2024-02-09 09:46,15
L10977070,SG,SG-,,1.4168756,103.8609867,Rower's Bay Park / Seletar Club Road,2025-01-10 07:30,84
L18303591,SG,SG-,,1.3176799,103.8176948,SBG--Healing Garden,2025-01-05 09:56,128
L13182644,SG,SG-,,1.4473377,103.7253034,SBWR Hide 1D,2024-10-21 11:12,94
L6061696,SG,SG-,,1.4381222,103.7012333,Saribum Scout Camp,2023-11-19 13:06,76
L4454792,SG,SG-,,1.2827183,103.8681445,Satay by the Bay,2025-01-09 11:21,177
L13430950,SG,SG-,,1.3703584,103.9592274,Sea Shell Park (Pasir Ris),2024-08-29 15:59,33
L12543609,SG,SG-,,1.2680482,103.8192442,Seah lm,2024-08-08 15:15,66
L10299850,SG,SG-,,1.4025829,103.8601626,Seletar Aerospace Crescent,2024-05-24 17:58,95
L1403154,SG,SG-,,1.423116,103.8629908,Seletar Dam (Yishun Dam),2025-01-02 18:20,162
L8276914,SG,SG-,,1.417277,103.8755139,Seletar End / Piccadilly,2024-12-26 08:54,129
L12289484,SG,SG-,,1.4426077,103.8623057,Seletar Island,2023-11-26 13:59,15
L5865564,SG,SG-,,1.4617097,103.8365936,Sembawang Park,2024-12-02 09:00,86
L16899034,SG,SG-,,1.4538155,103.833151,Sembawang Road (Simpang Kiri vicinity),2024-12-16 10:59,78
L31238364,SG,SG-,,1.3996041,103.8849371,Sengkang Riverside Park,2024-12-22 18:25,31
L1403135,SG,SG-,,1.3972662,103.8840473,Sengkang Riverside Park and Sengkang Floating Wetland,2024-12-29 15:19,111
L18593336,SG,SG-,,1.3995717,103.8840749,Sengkang Riverside Park--Northwest section,2024-02-13 16:00,44
L764282,SG,SG-,,1.2491479,103.828311,Sentosa Island,2025-01-10 15:34,194
L1465856,SG,SG-,,1.2565544,103.8150055,Sentosa Island: Nature Park area,2024-12-30 18:18,153
L22349251,SG,SG-,,1.257733,103.8097957,Shangri-La Rasa (Sentosa),2024-11-02 14:15,40
L21266934,SG,SG-,,1.3568123,103.7718793,Sigapore Quarry Lookout Point,2025-01-04 10:45,82
L927969,SG,SG-,,1.3770208,103.8092995,Sime Forest,2024-03-23 09:26,149
L12289526,SG,SG-,,1.4495489,103.8413623,Simpang Grassland (former),2024-12-28 17:51,77
L5912439,SG,SG-,,1.456457,103.8408422,Simpang Kiri Park Connector,2024-12-28 08:00,106
L952084,SG,SG-,,1.3148322,103.8159621,Singapore Botanic Gardens,2025-01-13 08:53,250
L10147361,SG,SG-,,1.3213429,103.8165361,Singapore Botanic Gardens Eco Lake,2025-01-11 18:18,168
L10064897,SG,SG-,,1.3127357,103.8119338,"Singapore Botanic Gardens--Gallop extension, incl COMO adv grove",2024-12-21 10:36,107
L17926117,SG,SG-,,1.3088027,103.8148872,Singapore Botanic Gardens--Learning Forest and Swan Lake,2025-01-11 11:58,137
L13222826,SG,SG-,,1.2753618,103.8499493,Singapore Chinese Cultural Center (SCCC) / Straits Boulevard,2024-08-10 09:42,55
L6053034,SG,SG-,,1.3552595,103.8655829,"Singapore Island: general lists, enter sites for notable species",2024-11-10 07:32,230
L6864233,SG,SG-,,1.3561247,103.770166,Singapore Quarry at Dairy Farm Nature Park,2025-01-09 07:17,160
L4685319,SG,SG-,,1.3029799,103.8720256,Singapore Sports Hub,2025-01-09 08:18,79
L1495902,SG,SG-,,1.2867599,103.993753,Singapore Straits (including SG/Indo/M'sian waters),2024-10-12 13:00,67
L1120413,SG,SG-,,1.4045597,103.7923801,Singapore Zoo,2025-01-07 15:10,142
L6002154,SG,SG-,,1.2147948,103.8336217,Sisters' Islands (Subar Darat and Subar Laut),2024-12-13 00:00,41
L17343023,SG,SG-,,1.2963592,103.8112056,SkyParc @ Dawson,2024-09-16 11:30,33
L12669923,SG,SG-,,1.295758,103.8099378,SkyVille@Dawson,2024-10-02 13:56,79
L12289003,SG,SG-,,1.1901175,103.787355,Southern Islands waters,2024-10-05 10:00,40
L6864225,SG,SG-,,1.2799463,103.8037312,Southern Ridges,2024-12-29 10:03,108
L11825599,SG,SG-,,1.274787,103.8376853,Spottiswoode Green,2024-11-29 12:46,23
L6441911,SG,SG-,,1.4015,103.8177,Springleaf Nature Park,2025-01-09 07:46,128
L2534673,SG,SG-,,1.21998,103.84959,St John's Island,2025-01-05 09:43,115
L22845838,SG,SG-,,1.323658,103.8278929,St Joseph's institution,2024-11-07 06:49,67
L6769149,SG,SG-,,1.3589777,103.9443165,"Sun Plaza Park, Tampines",2024-10-12 12:00,21
L11345953,SG,SG-,,1.330359,103.9516793,Sungei Bedok,2024-12-12 09:26,53
L927971,SG,SG-,,1.4461788,103.7286058,Sungei Buloh Wetland Reserve,2025-01-13 10:00,289
L5286543,SG,SG-,,1.4435565,103.735484,Sungei Buloh Wetland Reserve - East inc. Kranji Nature Trail,2025-01-08 07:41,202
L6372080,SG,SG-,,1.3097465,103.7460664,Sungei Pandan / Pandan Reservoir,2024-07-03 10:30,84
L11346706,SG,SG-,,1.389465,103.8817056,Sungei Punggol,2022-10-21 11:00,46
L14356941,SG,SG-,,1.4548349,103.8129512,Sungei Sembawang,2023-01-06 16:41,5
L10346810,SG,SG-,,1.4179212,103.8493706,Sungei Sopok (along Yishun Ave 1),2025-01-01 06:13,31
